financial_year,week_number,channel_slot,cost,updated_at,updated_by
2022,16,C,24778.73562300001,2026-08-19,bootstrap
2023,16,C,20855.98,2026-08-19,bootstrap
2024,16,C,21745.74000000001,2026-08-19,bootstrap
2022,17,C,20554.35782399999,2026-08-19,bootstrap
2023,17,C,14146.420000000004,2026-08-19,bootstrap
2024,17,C,27271.05000000001,2026-08-19,bootstrap
2022,18,C,16848.556075,2026-08-19,bootstrap
2023,18,C,23591.339999999997,2026-08-19,bootstrap
2024,18,C,20381.290000000005,2026-08-19,bootstrap
2022,19,C,16127.656764000008,2026-08-19,bootstrap
2023,19,C,19810.02999999999,2026-08-19,bootstrap
2024,19,C,20116.770000000008,2026-08-19,bootstrap
2022,20,C,18587.923331000013,2026-08-19,bootstrap
2023,20,C,21300.829999999994,2026-08-19,bootstrap
2024,20,C,30250.310000000034,2026-08-19,bootstrap
2022,21,C,24278.18611100001,2026-08-19,bootstrap
2023,21,C,20492.66999999999,2026-08-19,bootstrap
2024,21,C,25103.890000000007,2026-08-19,bootstrap
2022,22,C,21174.809319000007,2026-08-19,bootstrap
2023,22,C,15891.310000000001,2026-08-19,bootstrap
2024,22,C,14673.910000000005,2026-08-19,bootstrap
2022,23,C,16705.36647900001,2026-08-19,bootstrap
2023,23,C,13870.139999999985,2026-08-19,bootstrap
2024,23,C,12319.809999999996,2026-08-19,bootstrap
2022,24,C,14697.095476999999,2026-08-19,bootstrap
2023,24,C,24746.550000000003,2026-08-19,bootstrap
2024,24,C,18500.939999999988,2026-08-19,bootstrap
2022,25,C,17557.921034,2026-08-19,bootstrap
2023,25,C,33003.479999999996,2026-08-19,bootstrap
2024,25,C,32153.600000000006,2026-08-19,bootstrap
2022,26,C,23959.677775999997,2026-08-19,bootstrap
2023,26,C,31291.020000000004,2026-08-19,bootstrap
2024,26,C,36643.490000000005,2026-08-19,bootstrap
2022,27,C,24739.73330099998,2026-08-19,bootstrap
2023,27,C,21940.54,2026-08-19,bootstrap
2024,27,C,36855.41000000003,2026-08-19,bootstrap
2022,28,C,25234.813417999998,2026-08-19,bootstrap
2023,28,C,25232.059999999998,2026-08-19,bootstrap
2024,28,C,35158.450000000026,2026-08-19,bootstrap
2022,29,C,23717.21,2026-08-19,bootstrap
2023,29,C,23945.61,2026-08-19,bootstrap
2024,29,C,31964.510000000024,2026-08-19,bootstrap
2022,30,C,28640.34999999999,2026-08-19,bootstrap
2023,30,C,28481.080000000005,2026-08-19,bootstrap
2024,30,C,34430.95000000002,2026-08-19,bootstrap
2022,31,C,33810.65,2026-08-19,bootstrap
2023,31,C,26247.930000000008,2026-08-19,bootstrap
2024,31,C,38468.94000000003,2026-08-19,bootstrap
2022,32,C,31649.76999999999,2026-08-19,bootstrap
2023,32,C,18150.82,2026-08-19,bootstrap
2024,32,C,38720.54,2026-08-19,bootstrap
2022,33,C,29549.99999999998,2026-08-19,bootstrap
2023,33,C,33259.64000000002,2026-08-19,bootstrap
2024,33,C,47364.93999999999,2026-08-19,bootstrap
2022,34,C,30622.480000000007,2026-08-19,bootstrap
2023,34,C,30986.84,2026-08-19,bootstrap
2024,34,C,39046.53000000002,2026-08-19,bootstrap
2022,35,C,26727.210000000006,2026-08-19,bootstrap
2023,35,C,10146.570000000003,2026-08-19,bootstrap
2024,35,C,21003.629999999997,2026-08-19,bootstrap
2022,36,C,14779.780000000008,2026-08-19,bootstrap
2023,36,C,17298.130000000005,2026-08-19,bootstrap
2024,36,C,10718.71,2026-08-19,bootstrap
2022,37,C,10003.740000000002,2026-08-19,bootstrap
2023,37,C,21597.460000000006,2026-08-19,bootstrap
2024,37,C,11615.11,2026-08-19,bootstrap
2022,38,C,11053.850000000004,2026-08-19,bootstrap
2023,38,C,41911.68999999999,2026-08-19,bootstrap
2024,38,C,20927.510000000028,2026-08-19,bootstrap
2022,39,C,44189.83,2026-08-19,bootstrap
2023,39,C,40646.93999999999,2026-08-19,bootstrap
2024,39,C,37306.60000000002,2026-08-19,bootstrap
2022,40,C,39806.25,2026-08-19,bootstrap
2023,40,C,41296.929999999986,2026-08-19,bootstrap
2024,40,C,34994.67999999998,2026-08-19,bootstrap
2022,41,C,40880.64000000001,2026-08-19,bootstrap
2023,41,C,47047.02999999999,2026-08-19,bootstrap
2024,41,C,29181.719999999994,2026-08-19,bootstrap
2022,42,C,35759.05999999999,2026-08-19,bootstrap
2023,42,C,30052.12999999999,2026-08-19,bootstrap
2024,42,C,29220.990000000005,2026-08-19,bootstrap
2022,43,C,31560.530000000002,2026-08-19,bootstrap
2023,43,C,21600.510000000013,2026-08-19,bootstrap
2024,43,C,25450.69,2026-08-19,bootstrap
2022,44,C,30117.32,2026-08-19,bootstrap
2023,44,C,22586.890000000007,2026-08-19,bootstrap
2024,44,C,24653.23000000001,2026-08-19,bootstrap
2022,45,C,30649.610000000015,2026-08-19,bootstrap
2023,45,C,26905.220000000023,2026-08-19,bootstrap
2024,45,C,29491.590000000026,2026-08-19,bootstrap
2022,46,C,32314.34000000001,2026-08-19,bootstrap
2023,46,C,41138.25000000001,2026-08-19,bootstrap
2024,46,C,36000.01000000003,2026-08-19,bootstrap
2022,47,C,30583.14,2026-08-19,bootstrap
2023,47,C,18026.629999999997,2026-08-19,bootstrap
2024,47,C,28318.130000000012,2026-08-19,bootstrap
2022,48,C,24645.990000000005,2026-08-19,bootstrap
2023,48,C,8908.779999999999,2026-08-19,bootstrap
2024,48,C,8486.080000000005,2026-08-19,bootstrap
2022,49,C,18874.719999999994,2026-08-19,bootstrap
2023,49,C,11982.690000000002,2026-08-19,bootstrap
2024,49,C,11405.589999999998,2026-08-19,bootstrap
2022,50,C,18280.500000000007,2026-08-19,bootstrap
2023,50,C,15012.110000000011,2026-08-19,bootstrap
2024,50,C,16381.11,2026-08-19,bootstrap
2022,51,C,24248.73999999999,2026-08-19,bootstrap
2023,51,C,29794.900000000023,2026-08-19,bootstrap
2024,51,C,25804.4,2026-08-19,bootstrap
